,id,blueTeamTag,redTeamTag,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,rResult,bResult
8188,ESPORTSTMNT03_3219136,MAD Lions KOI,Team BDS,Chasy,Gnar,Elyoya,Bel'Veth,Nisqy,Lissandra,Carzzy,Xayah,Hylissang,Rell,Adam,Renekton,Sheo,Vi,nuc,Azir,Crownie,Kai'Sa,Labrov,Alistar,0,1
8189,ESPORTSTMNT03_3219275,Dplus KIA  Academy,T1 Academy,Siwoo,Jax,Sharvel,Vi,Saint,Neeko,Jinbeom,Kalista,unknown player,Alistar,Quokka,Renekton,Soft,Maokai,Heru,Sylas,Rave,Aphelios,unknown player,Renata Glasc,0,1
8190,ESPORTSTMNT03_3219280,Liiv SANDBOX Academy,Gen.G Academy,unknown player,Renekton,unknown player,Maokai,Hinata,Azir,Celina,Kalista,unknown player,Renata Glasc,HorangE,Jax,unknown player,Volibear,Dooly,K'Sante,unknown player,Kai'Sa,Dahlia,Rakan,0,1
8191,ESPORTSTMNT03_3219283,OKSavingsBank BRION Academy,Kwangdong Freecs Academy,unknown player,K'Sante,unknown player,Rell,unknown player,Taliyah,unknown player,Kai'Sa,Gyosoo,Alistar,Allo,Jax,Pressure,Vi,Hades,Syndra,Whisper,Xayah,Quantum,Rakan,0,1
8192,ESPORTSTMNT03_3219284,DRX Academy,KT Rolster Academy,unknown player,K'Sante,unknown player,Jarvan IV,unknown player,Ahri,unknown player,Xayah,unknown player,Rakan,TOP,Jax,unknown player,Sejuani,MID,Taliyah,unknown player,Kai'Sa,unknown player,Alistar,0,1
8193,ESPORTSTMNT03_3219298,Hanwha Life Esports Academy,T1 Academy,HaeTae,Renekton,unknown player,Lillia,Tempester,Syndra,Spike,Tahm Kench,Pooh,Senna,Quokka,Aatrox,Soft,Maokai,Heru,Yone,Rave,Xayah,Cane,Rakan,0,1
8194,ESPORTSTMNT03_3219305,JD Gaming,LNG Esports,369,K'Sante,Kanavi,Vi,knight,Orianna,Ruler,Zeri,MISSING,Lulu,Zika,Camille,Tarzan,Lee Sin,Scout,Akali,GALA,Kai'Sa,Hang,Alistar,0,1
8195,ESPORTSTMNT03_3219312,Dplus KIA  Academy,DRX Academy,Siwoo,Rumble,Sharvel,Jarvan IV,Saint,Orianna,Jinbeom,Kalista,unknown player,Nautilus,unknown player,Gnar,unknown player,Vi,unknown player,Viktor,unknown player,Draven,unknown player,Renata Glasc,0,1
8196,ESPORTSTMNT03_3219315,KT Rolster Academy,Kwangdong Freecs Academy,TOP,K'Sante,unknown player,Maokai,MID,Jayce,unknown player,Zeri,unknown player,Alistar,Allo,Renekton,Pressure,Vi,Hades,Ahri,Whisper,Kai'Sa,Quantum,Rell,0,1
8197,ESPORTSTMNT03_3219318,JD Gaming,LNG Esports,369,Aatrox,Kanavi,Wukong,knight,Neeko,Ruler,Kai'Sa,MISSING,Rakan,Zika,K'Sante,Tarzan,Vi,Scout,Ahri,GALA,Tristana,Hang,Nautilus,0,1
