teamTag,Games Played,Games Won,Win Ratio,Games Played Blue,Games Won Blue,Win Ratio Blue,Games Played Red,Games Won Red,Win Ratio Red
FAC,12,4,0.3333333333333333,5,1,0.2,7,3,0.42857142857142855,
FB,133,58,0.43609022556390975,73,35,0.4794520547945205,60,23,0.38333333333333336,
FG,60,34,0.5666666666666667,35,20,0.5714285714285714,25,14,0.56,
FH,3,3,1.0,1,1,1.0,2,2,1.0,
FIS,2,0,0.0,1,0,0.0,1,0,0.0,
FLY,97,43,0.44329896907216493,53,24,0.4528301886792453,44,19,0.4318181818181818,
FNA,11,8,0.7272727272727273,7,5,0.7142857142857143,4,3,0.75,
FNC,254,148,0.5826771653543307,136,89,0.6544117647058824,118,59,0.5,
FOX,148,51,0.34459459459459457,82,32,0.3902439024390244,66,19,0.2878787878787879,
FSN,17,8,0.47058823529411764,9,4,0.4444444444444444,8,4,0.5,
FW,214,144,0.6728971962616822,107,75,0.7009345794392523,107,69,0.6448598130841121,
G2,201,125,0.6218905472636815,102,62,0.6078431372549019,99,63,0.6363636363636364,
GAL,61,24,0.39344262295081966,30,15,0.5,31,9,0.2903225806451613,
GAM,23,10,0.43478260869565216,12,4,0.3333333333333333,11,6,0.5454545454545454,
GCU,21,9,0.42857142857142855,8,4,0.5,13,5,0.38461538461538464,
GET,34,24,0.7058823529411765,19,12,0.631578947368421,15,12,0.8,
GG,45,19,0.4222222222222222,22,9,0.4090909090909091,23,10,0.43478260869565216,
GGS,4,0,0.0,3,0,0.0,1,0,0.0,
GIA,173,68,0.3930635838150289,86,32,0.37209302325581395,87,36,0.41379310344827586,
GMB,85,46,0.5411764705882353,41,25,0.6097560975609756,44,21,0.4772727272727273,
GRX,4,4,1.0,2,2,1.0,2,2,1.0,
GS,27,7,0.25925925925925924,13,4,0.3076923076923077,14,3,0.21428571428571427,
GV,47,24,0.5106382978723404,23,9,0.391304347826087,24,15,0.625,
GlA,5,1,0.2,2,0,0.0,3,1,0.3333333333333333,
H2K,223,140,0.6278026905829597,129,85,0.6589147286821705,94,55,0.5851063829787234,
H2k,6,3,0.5,3,1,0.3333333333333333,3,2,0.6666666666666666,
HAF,41,16,0.3902439024390244,20,10,0.5,21,6,0.2857142857142857,
HKA,44,23,0.5227272727272727,25,14,0.56,19,9,0.47368421052631576,
HKE,126,63,0.5,64,32,0.5,62,31,0.5,
HKES,15,9,0.6,9,5,0.5555555555555556,6,4,0.6666666666666666,
HLN,40,7,0.175,19,2,0.10526315789473684,21,5,0.23809523809523808,
HMA,8,2,0.25,3,1,0.3333333333333333,5,1,0.2,
HR,20,17,0.85,12,11,0.9166666666666666,8,6,0.75,
HWA,132,72,0.5454545454545454,70,40,0.5714285714285714,62,32,0.5161290322580645,
IFG,23,1,0.043478260869565216,12,1,0.08333333333333333,11,0,0.0,
IG,5,1,0.2,3,1,0.3333333333333333,2,0,0.0,
IM,34,10,0.29411764705882354,18,7,0.3888888888888889,16,3,0.1875,
IMG,4,1,0.25,4,1,0.25,0,0,0.5,
IMT,177,111,0.6271186440677966,85,55,0.6470588235294118,92,56,0.6086956521739131,
INF,74,37,0.5,39,19,0.48717948717948717,35,18,0.5142857142857142,
INTZ,2,0,0.0,1,0,0.0,1,0,0.0,
ISG,58,35,0.603448275862069,21,14,0.6666666666666666,37,21,0.5675675675675675,
ITZ,79,50,0.6329113924050633,41,30,0.7317073170731707,38,20,0.5263157894736842,
JAG,259,126,0.4864864864864865,126,70,0.5555555555555556,133,56,0.42105263157894735,
JSA,27,12,0.4444444444444444,14,8,0.5714285714285714,13,4,0.3076923076923077,
JST,26,9,0.34615384615384615,13,3,0.23076923076923078,13,6,0.46153846153846156,
JT,104,64,0.6153846153846154,51,35,0.6862745098039216,53,29,0.5471698113207547,
JTH,66,31,0.4696969696969697,31,17,0.5483870967741935,35,14,0.4,
JTM,4,3,0.75,3,2,0.6666666666666666,1,1,1.0,
KBM,55,21,0.38181818181818183,29,13,0.4482758620689655,26,8,0.3076923076923077,
KDM,115,41,0.3565217391304348,53,22,0.41509433962264153,62,19,0.3064516129032258,
KLG,44,25,0.5681818181818182,23,13,0.5652173913043478,21,12,0.5714285714285714,
KOO,59,35,0.5932203389830508,34,21,0.6176470588235294,25,14,0.56,
KST,33,17,0.5151515151515151,18,6,0.3333333333333333,15,11,0.7333333333333333,
KSV,8,5,0.625,5,3,0.6,3,2,0.6666666666666666,
KT,19,12,0.631578947368421,10,8,0.8,9,4,0.4444444444444444,
KZ,5,4,0.8,1,1,1.0,4,3,0.75,
LGC,114,79,0.6929824561403509,54,42,0.7777777777777778,60,37,0.6166666666666667,
LGD,7,2,0.2857142857142857,4,1,0.25,3,1,0.3333333333333333,
LGS,25,6,0.24,13,5,0.38461538461538464,12,1,0.08333333333333333,
LGT,2,1,0.5,0,0,0.5,2,1,0.5,
LK,46,26,0.5652173913043478,24,11,0.4583333333333333,22,15,0.6818181818181818,
LMQ,6,2,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,
LOG,12,5,0.4166666666666667,4,2,0.5,8,3,0.375,
LYN,67,60,0.8955223880597015,37,34,0.918918918918919,30,26,0.8666666666666667,
LZ,205,100,0.4878048780487805,104,56,0.5384615384615384,101,44,0.43564356435643564,
Longzhu,8,6,0.75,3,2,0.6666666666666666,5,4,0.8,
M17,135,60,0.4444444444444444,68,34,0.5,67,26,0.3880597014925373,
M19,46,21,0.45652173913043476,21,11,0.5238095238095238,25,10,0.4,
MAD,4,1,0.25,2,1,0.5,2,0,0.0,
MC,2,1,0.5,0,0,0.5,2,1,0.5,
MFA,7,5,0.7142857142857143,4,3,0.75,3,2,0.6666666666666666,
MIL,12,4,0.3333333333333333,9,3,0.3333333333333333,3,1,0.3333333333333333,
MKZ,2,1,0.5,1,1,1.0,1,0,0.0,
MM,36,7,0.19444444444444445,14,2,0.14285714285714285,22,5,0.22727272727272727,
MOU,2,0,0.0,1,0,0.0,1,0,0.0,
MSE,91,36,0.3956043956043956,44,16,0.36363636363636365,47,20,0.425531914893617,
MSF,99,49,0.494949494949495,53,30,0.5660377358490566,46,19,0.41304347826086957,
MSK,4,0,0.0,3,0,0.0,1,0,0.0,
MVP,137,57,0.41605839416058393,69,32,0.463768115942029,68,25,0.36764705882352944,
MYM,19,5,0.2631578947368421,10,3,0.3,9,2,0.2222222222222222,
Mac,13,5,0.38461538461538464,7,4,0.5714285714285714,6,1,0.16666666666666666,
NGU,13,3,0.23076923076923078,5,1,0.2,8,2,0.25,
NH,4,1,0.25,2,1,0.5,2,0,0.0,
NIP,35,10,0.2857142857142857,17,4,0.23529411764705882,18,6,0.3333333333333333,
NJE,56,26,0.4642857142857143,26,13,0.5,30,13,0.43333333333333335,
NJF,22,11,0.5,9,7,0.7777777777777778,13,4,0.3076923076923077,
NME,24,6,0.25,11,3,0.2727272727272727,13,3,0.23076923076923078,
NR1,47,13,0.2765957446808511,22,7,0.3181818181818182,25,6,0.24,
NRG,64,19,0.296875,29,13,0.4482758620689655,35,6,0.17142857142857143,
NTR,2,0,0.0,1,0,0.0,1,0,0.0,
NV,208,86,0.41346153846153844,100,46,0.46,108,40,0.37037037037037035,
NWS,9,5,0.5555555555555556,5,4,0.8,4,1,0.25,
OG,144,63,0.4375,72,34,0.4722222222222222,72,29,0.4027777777777778,
OHM,15,5,0.3333333333333333,8,3,0.375,7,2,0.2857142857142857,
OMG,16,7,0.4375,8,4,0.5,8,3,0.375,
ONE,25,16,0.64,17,11,0.6470588235294118,8,5,0.625,
OPK,43,16,0.37209302325581395,24,11,0.4583333333333333,19,5,0.2631578947368421,
OPT,4,1,0.25,2,1,0.5,2,0,0.0,
ORD,3,3,1.0,1,1,1.0,2,2,1.0,
