teamTag,Games Played,Games Won,Win Ratio,Games Played Blue,Games Won Blue,Win Ratio Blue,Games Played Red,Games Won Red,Win Ratio Red
HLN,37,7,0.1891891891891892,18,2,0.1111111111111111,19,5,0.2631578947368421,
HMA,8,2,0.25,3,1,0.3333333333333333,5,1,0.2,
HR,18,16,0.8888888888888888,11,10,0.9090909090909091,7,6,0.8571428571428571,
HWA,131,70,0.5343511450381679,66,40,0.6060606060606061,65,30,0.46153846153846156,
IFG,24,2,0.08333333333333333,11,1,0.09090909090909091,13,1,0.07692307692307693,
IG,5,2,0.4,2,1,0.5,3,1,0.3333333333333333,
IM,33,8,0.24242424242424243,16,5,0.3125,17,3,0.17647058823529413,
IMG,2,1,0.5,2,1,0.5,0,0,0.5,
IMT,160,97,0.60625,73,46,0.6301369863013698,87,51,0.5862068965517241,
INF,77,35,0.45454545454545453,39,18,0.46153846153846156,38,17,0.4473684210526316,
INTZ,2,0,0.0,1,0,0.0,1,0,0.0,
ISG,60,36,0.6,22,15,0.6818181818181818,38,21,0.5526315789473685,
ITZ,81,49,0.6049382716049383,42,30,0.7142857142857143,39,19,0.48717948717948717,
JAG,262,127,0.4847328244274809,128,70,0.546875,134,57,0.4253731343283582,
JSA,31,15,0.4838709677419355,16,10,0.625,15,5,0.3333333333333333,
JST,27,8,0.2962962962962963,14,3,0.21428571428571427,13,5,0.38461538461538464,
JT,98,60,0.6122448979591837,46,32,0.6956521739130435,52,28,0.5384615384615384,
JTH,65,32,0.49230769230769234,32,17,0.53125,33,15,0.45454545454545453,
JTM,6,3,0.5,3,2,0.6666666666666666,3,1,0.3333333333333333,
KBM,56,21,0.375,28,13,0.4642857142857143,28,8,0.2857142857142857,
KDM,106,39,0.36792452830188677,53,21,0.39622641509433965,53,18,0.33962264150943394,
KLG,43,24,0.5581395348837209,23,14,0.6086956521739131,20,10,0.5,
KOO,64,39,0.609375,34,20,0.5882352941176471,30,19,0.6333333333333333,
KST,40,21,0.525,24,9,0.375,16,12,0.75,
KSV,7,5,0.7142857142857143,4,3,0.75,3,2,0.6666666666666666,
KT,18,11,0.6111111111111112,9,8,0.8888888888888888,9,3,0.3333333333333333,
KZ,7,5,0.7142857142857143,3,2,0.6666666666666666,4,3,0.75,
LGC,116,81,0.6982758620689655,55,42,0.7636363636363637,61,39,0.639344262295082,
LGD,8,2,0.25,4,1,0.25,4,1,0.25,
LGS,24,5,0.20833333333333334,10,4,0.4,14,1,0.07142857142857142,
LGT,1,0,0.0,0,0,0.5,1,0,0.0,
LK,45,24,0.5333333333333333,23,11,0.4782608695652174,22,13,0.5909090909090909,
LMQ,6,2,0.3333333333333333,3,1,0.3333333333333333,3,1,0.3333333333333333,
LOG,11,4,0.36363636363636365,6,2,0.3333333333333333,5,2,0.4,
LYN,68,60,0.8823529411764706,35,32,0.9142857142857143,33,28,0.8484848484848485,
LZ,200,95,0.475,102,54,0.5294117647058824,98,41,0.41836734693877553,
Longzhu,7,4,0.5714285714285714,4,2,0.5,3,2,0.6666666666666666,
M17,148,70,0.47297297297297297,75,39,0.52,73,31,0.4246575342465753,
M19,42,20,0.47619047619047616,19,10,0.5263157894736842,23,10,0.43478260869565216,
MAD,4,1,0.25,1,1,1.0,3,0,0.0,
MC,3,2,0.6666666666666666,1,1,1.0,2,1,0.5,
MFA,6,5,0.8333333333333334,3,2,0.6666666666666666,3,3,1.0,
MIL,12,5,0.4166666666666667,10,4,0.4,2,1,0.5,
MKZ,3,1,0.3333333333333333,1,1,1.0,2,0,0.0,
MM,33,7,0.21212121212121213,13,2,0.15384615384615385,20,5,0.25,
MOU,3,0,0.0,2,0,0.0,1,0,0.0,
MSE,88,34,0.38636363636363635,45,18,0.4,43,16,0.37209302325581395,
MSF,95,51,0.5368421052631579,52,32,0.6153846153846154,43,19,0.4418604651162791,
MSK,4,0,0.0,3,0,0.0,1,0,0.0,
MVP,136,57,0.41911764705882354,64,29,0.453125,72,28,0.3888888888888889,
MYM,19,5,0.2631578947368421,10,3,0.3,9,2,0.2222222222222222,
